Id,SalePrice
1461,142833.33333333334
1462,160083.33333333334
1463,168500.0
1464,180666.66666666666
1465,215133.33333333334
1466,177800.0
1467,166333.33333333334
1468,179700.0
1469,190666.66666666666
1470,100000.0
1471,181333.33333333334
1472,90833.33333333333
1473,108333.33333333333
1474,147666.66666666666
1475,129766.66666666667
1476,336000.0
1477,264030.0
1478,327500.0
1479,292487.6666666667
1480,488135.6666666667
1481,344208.0
1482,200833.33333333334
1483,169810.66666666666
1484,179233.33333333334
1485,176513.33333333334
1486,197833.33333333334
1487,321333.3333333333
1488,263433.3333333333
1489,197959.66666666666
1490,171966.66666666666
1491,171666.66666666666
1492,111666.66666666667
1493,175583.33333333334
1494,310666.6666666667
1495,332333.3333333333
1496,219333.33333333334
1497,192983.33333333334
1498,148717.33333333334
1499,148717.33333333334
1500,154077.66666666666
1501,172666.66666666666
1502,147984.0
1503,255606.0
1504,249000.0
1505,201500.0
1506,214333.33333333334
1507,194133.33333333334
1508,191750.0
1509,185833.33333333334
1510,139500.0
1511,159079.0
1512,163966.66666666666
1513,161050.0
1514,125633.33333333333
1515,155966.66666666666
1516,181333.33333333334
1517,143833.33333333334
1518,148533.33333333334
1519,208590.0
1520,129500.0
1521,144966.66666666666
1522,186666.66666666666
1523,91666.66666666667
1524,130993.33333333333
1525,124800.0
1526,129500.0
1527,112240.33333333333
1528,118500.0
1529,159500.0
1530,166900.0
1531,130833.33333333333
1532,104000.0
1533,138666.66666666666
1534,112666.66666666667
1535,139333.33333333334
1536,144633.33333333334
1537,113500.0
1538,161500.0
1539,244166.66666666666
1540,145300.0
1541,166266.66666666666
1542,132833.33333333334
1543,200133.33333333334
1544,97666.66666666667
1545,106333.33333333333
1546,135800.0
1547,125000.0
1548,132616.66666666666
1549,121633.33333333333
1550,141666.66666666666
1551,143500.0
1552,127666.66666666667
1553,114833.33333333333
1554,116334.66666666667
1555,156800.0
1556,99800.0
1557,121833.33333333333
1558,101133.33333333333
1559,123333.33333333333
1560,137966.66666666666
1561,142500.0
1562,117466.66666666667
1563,116600.0
